subarray,lon,lat,depth_km,vs_median_km_s,vs_q16_km_s,vs_q84_km_s,vs_std_km_s,n_periods_used
1,109.083333,41.212500,2.0,3.06156,2.72332,3.61786,0.46321,39
1,109.083333,41.212500,5.0,3.46659,3.07352,3.78160,0.35188,39
1,109.083333,41.212500,10.0,3.40594,2.98111,3.82673,0.41120,39
1,109.083333,41.212500,20.0,3.84961,3.41621,4.18476,0.35473,39
1,109.083333,41.212500,40.0,3.41340,3.13807,3.69769,0.25231,39
1,109.083333,41.212500,60.0,3.34063,3.27417,3.44003,0.08449,39
1,109.083333,41.212500,80.0,3.51864,3.50234,3.54753,0.02542,39
1,109.083333,41.212500,100.0,3.57602,3.55331,3.59967,0.02818,39
2,109.083333,41.337500,2.0,2.78593,2.42225,3.30199,0.41126,39
2,109.083333,41.337500,5.0,3.09552,2.77018,3.49374,0.35248,39
2,109.083333,41.337500,10.0,3.19489,2.81326,3.55649,0.36292,39
2,109.083333,41.337500,20.0,3.94455,3.68840,4.18634,0.26018,39
2,109.083333,41.337500,40.0,3.38719,3.16773,3.66300,0.24239,39
2,109.083333,41.337500,60.0,3.28693,3.23609,3.34889,0.06099,39
2,109.083333,41.337500,80.0,3.52553,3.50820,3.54516,0.01867,39
2,109.083333,41.337500,100.0,3.54827,3.53133,3.55913,0.01744,39
3,109.083333,41.462500,2.0,2.94343,2.50037,3.24195,0.39464,39
3,109.083333,41.462500,5.0,3.09713,2.72652,3.40750,0.34693,39
3,109.083333,41.462500,10.0,3.21154,2.82060,3.44137,0.34311,39
3,109.083333,41.462500,20.0,3.98818,3.61703,4.26905,0.33602,39
3,109.083333,41.462500,40.0,3.62685,3.32921,3.83018,0.26590,39
3,109.083333,41.462500,60.0,3.29051,3.23374,3.36917,0.08181,39
3,109.083333,41.462500,80.0,3.50987,3.48398,3.53568,0.02392,39
3,109.083333,41.462500,100.0,3.55110,3.53180,3.57750,0.02425,39
4,109.083333,41.587500,2.0,2.82286,2.26900,3.25641,0.48568,39
4,109.083333,41.587500,5.0,2.98112,2.76006,3.31634,0.28255,39
4,109.083333,41.587500,10.0,3.14694,2.72869,3.54157,0.38443,39
4,109.083333,41.587500,20.0,3.79512,3.45869,4.14512,0.32556,39
4,109.083333,41.587500,40.0,3.11765,3.00627,3.27300,0.13628,39
4,109.083333,41.587500,60.0,3.27319,3.23234,3.33071,0.05768,39
4,109.083333,41.587500,80.0,3.52334,3.50724,3.54468,0.02317,39
4,109.083333,41.587500,100.0,3.53837,3.52706,3.55920,0.01827,39
5,109.083333,41.712500,2.0,2.76812,2.28908,3.33553,0.47881,39
5,109.083333,41.712500,5.0,2.95646,2.66426,3.25386,0.29402,39
5,109.083333,41.712500,10.0,3.13271,2.73487,3.46817,0.39232,39
5,109.083333,41.712500,20.0,3.78679,3.50102,4.02073,0.28184,39
5,109.083333,41.712500,40.0,3.05754,2.95221,3.25509,0.16626,39
5,109.083333,41.712500,60.0,3.28849,3.25272,3.34303,0.04538,39
5,109.083333,41.712500,80.0,3.52383,3.50368,3.54655,0.02653,39
5,109.083333,41.712500,100.0,3.54509,3.52755,3.56500,0.02049,39
6,109.083333,41.837500,2.0,2.72095,2.20557,3.19230,0.47400,39
6,109.083333,41.837500,5.0,2.95037,2.65557,3.25700,0.33521,39
6,109.083333,41.837500,10.0,3.15094,2.86051,3.54131,0.32409,39
6,109.083333,41.837500,20.0,3.79592,3.43832,4.10582,0.33065,39
6,109.083333,41.837500,40.0,3.17391,3.02537,3.35197,0.19068,39
6,109.083333,41.837500,60.0,3.28340,3.24063,3.33028,0.05787,39
6,109.083333,41.837500,80.0,3.52430,3.50263,3.54398,0.01934,39
6,109.083333,41.837500,100.0,3.55497,3.53557,3.57204,0.01888,39
7,109.083333,41.962500,2.0,2.75103,2.24239,3.24377,0.50983,39
