site_index,method,vs_mae_km_s,vs_mae_0_40km_km_s,vs_mae_40_120km_km_s,phase_forward_rms_km_s,group_forward_rms_km_s,input_protocol
2,DispFormer phase-only,0.10758262127637863,0.18707361817359924,0.06734030693769455,0.0377589650452137,0.043579135090112686,phase only
7,DispFormer phase-only,0.11591235548257828,0.15757356584072113,0.09482137113809586,0.0397750549018383,0.09007696807384491,phase only
153,DispFormer phase-only,0.17737038433551788,0.08007954061031342,0.22662386298179626,0.031862568110227585,0.07055339962244034,phase only
296,DispFormer phase-only,0.18342219293117523,0.16997863352298737,0.19022801518440247,0.053119219839572906,0.12925571203231812,phase only
331,DispFormer phase-only,0.12688681483268738,0.07593924552202225,0.15267902612686157,0.02670111320912838,0.09349527955055237,phase only
493,DispFormer phase-only,0.12605519592761993,0.09164077788591385,0.14347748458385468,0.03601957857608795,0.12014316767454147,phase only
658,DispFormer phase-only,0.0946430191397667,0.1206534132361412,0.08147524297237396,0.03644172474741936,0.11854314804077148,phase only
786,DispFormer phase-only,0.1493176966905594,0.16467837989330292,0.14154131710529327,0.04568449780344963,0.06321730464696884,phase only
992,DispFormer phase-only,0.11133447289466858,0.12850825488567352,0.10264024883508682,0.035785287618637085,0.09570766240358353,phase only
1009,DispFormer phase-only,0.07084854692220688,0.16339999437332153,0.023994365707039833,0.04436027258634567,0.0994485542178154,phase only
1040,DispFormer phase-only,0.12380875647068024,0.1491064876317978,0.11100178956985474,0.03701748698949814,0.08087119460105896,phase only
1087,DispFormer phase-only,0.12874731421470642,0.09943335503339767,0.14358749985694885,0.028277693316340446,0.06774871051311493,phase only
1148,DispFormer phase-only,0.18411396443843842,0.18127526342868805,0.1855510175228119,0.047894250601530075,0.09649296849966049,phase only
1209,DispFormer phase-only,0.10179015249013901,0.09929533302783966,0.10305315256118774,0.05271304026246071,0.15425634384155273,phase only
1254,DispFormer phase-only,0.07383266091346741,0.11689823865890503,0.05203070491552353,0.06235270947217941,0.11546531319618225,phase only
1319,DispFormer phase-only,0.15384069085121155,0.19829891622066498,0.13133372366428375,0.044003378599882126,0.11612579971551895,phase only
1337,DispFormer phase-only,0.08614840358495712,0.11056488007307053,0.07378755509853363,0.045101597905159,0.07620055228471756,phase only
1429,DispFormer phase-only,0.1318816989660263,0.15546560287475586,0.11994235217571259,0.046635035425424576,0.05676047131419182,phase only
1439,DispFormer phase-only,0.14861960709095,0.17221052944660187,0.13667669892311096,0.024828167632222176,0.04705236479640007,phase only
1749,DispFormer phase-only,0.0640738308429718,0.13318681716918945,0.02908538654446602,0.04769141599535942,0.11796616017818451,phase only
2011,DispFormer phase-only,0.07174992561340332,0.12133602052927017,0.046646974980831146,0.03312093764543533,0.06216108053922653,phase only
2036,DispFormer phase-only,0.09013203531503677,0.1342683732509613,0.0677880123257637,0.06154581159353256,0.108830027282238,phase only
2044,DispFormer phase-only,0.08751111477613449,0.1323956400156021,0.0647883266210556,0.04212747514247894,0.07556623220443726,phase only
2074,DispFormer phase-only,0.10578741133213043,0.1312122642993927,0.0929160863161087,0.03090505860745907,0.1479821354150772,phase only
2076,DispFormer phase-only,0.09945016354322433,0.14691703021526337,0.0754200741648674,0.034645188599824905,0.06760717928409576,phase only
2140,DispFormer phase-only,0.11949243396520615,0.14419393241405487,0.10698729753494263,0.048760052770376205,0.08022146672010422,phase only
2328,DispFormer phase-only,0.058505941182374954,0.08638617396354675,0.04439157247543335,0.031187091022729874,0.08068160712718964,phase only
2487,DispFormer phase-only,0.08201847970485687,0.12614691257476807,0.05967845767736435,0.06213291734457016,0.10769788920879364,phase only
2533,DispFormer phase-only,0.1543533205986023,0.24476103484630585,0.10858441889286041,0.06320563703775406,0.17078016698360443,phase only
2613,DispFormer phase-only,0.07514673471450806,0.09430062025785446,0.06545008718967438,0.06762721389532089,0.09662776440382004,phase only
2634,DispFormer phase-only,0.14658884704113007,0.10710783302783966,0.16657611727714539,0.030030490830540657,0.10183031111955643,phase only
2697,DispFormer phase-only,0.07757096737623215,0.16514557600021362,0.033236313611269,0.034913402050733566,0.12250139564275742,phase only
2813,DispFormer phase-only,0.066937156021595,0.11983919888734818,0.040155503898859024,0.04423872008919716,0.09531998634338379,phase only
2816,DispFormer phase-only,0.11473481357097626,0.16870689392089844,0.08741144835948944,0.03488212078809738,0.07800425589084625,phase only
2835,DispFormer phase-only,0.10443543642759323,0.10686208307743073,0.10320694744586945,0.07077579200267792,0.11517275869846344,phase only
3197,DispFormer phase-only,0.10138999670743942,0.17624352872371674,0.06349538266658783,0.037696510553359985,0.1308802366256714,phase only
3291,DispFormer phase-only,0.0753176212310791,0.13009226322174072,0.04758796468377113,0.055840689688920975,0.1147245541214943,phase only
3388,DispFormer phase-only,0.09029822051525116,0.15696217119693756,0.05654959753155708,0.06000789627432823,0.07737059891223907,phase only
3546,DispFormer phase-only,0.1561497449874878,0.22312211990356445,0.12224496901035309,0.04280383512377739,0.1369781494140625,phase only
3559,DispFormer phase-only,0.0524178184568882,0.07903008162975311,0.038945361971855164,0.04126957058906555,0.09583554416894913,phase only
3785,DispFormer phase-only,0.05920859053730965,0.10416402667760849,0.03644989803433418,0.04118562862277031,0.06670232117176056,phase only
3805,DispFormer phase-only,0.10011564195156097,0.21877853572368622,0.04004255309700966,0.04568232595920563,0.16312551498413086,phase only
4046,DispFormer phase-only,0.11423823237419128,0.16066598892211914,0.09073418378829956,0.02760334499180317,0.10187940299510956,phase only
4124,DispFormer phase-only,0.08885685354471207,0.16994643211364746,0.04780525341629982,0.0635184720158577,0.1466168910264969,phase only
4215,DispFormer phase-only,0.101600281894207,0.1415766477584839,0.08136226236820221,0.08064036816358566,0.18601496517658234,phase only
4427,DispFormer phase-only,0.14530858397483826,0.2807970643043518,0.07671752572059631,0.03378542512655258,0.12461202591657639,phase only
4472,DispFormer phase-only,0.14794377982616425,0.20574155449867249,0.11868363618850708,0.058479029685258865,0.16282323002815247,phase only
4555,DispFormer phase-only,0.13774552941322327,0.2650732100009918,0.07328587770462036,0.043451808393001556,0.16701164841651917,phase only
4670,DispFormer phase-only,0.08646608144044876,0.15779338777065277,0.05035663768649101,0.03148853778839111,0.09595660120248795,phase only
4695,DispFormer phase-only,0.10794288665056229,0.14823879301548004,0.08754308521747589,0.04519641399383545,0.07639512419700623,phase only
4724,DispFormer phase-only,0.1259363889694214,0.14324411749839783,0.11717434227466583,0.04568406194448471,0.08387714624404907,phase only
4805,DispFormer phase-only,0.10190588235855103,0.1450212001800537,0.08007875829935074,0.03431086614727974,0.0794372633099556,phase only
4989,DispFormer phase-only,0.11769784986972809,0.189386785030365,0.08140531182289124,0.03805968165397644,0.08167151361703873,phase only
5077,DispFormer phase-only,0.1159931868314743,0.1332821249961853,0.10724065452814102,0.03733806312084198,0.06401799619197845,phase only
5097,DispFormer phase-only,0.07374968379735947,0.17020076513290405,0.024921324104070663,0.08141034841537476,0.20566274225711823,phase only
5111,DispFormer phase-only,0.07835844159126282,0.11940951645374298,0.05757632851600647,0.04893233999609947,0.09394385665655136,phase only
5212,DispFormer phase-only,0.10815872997045517,0.09399617463350296,0.11532852798700333,0.05178052559494972,0.10472014546394348,phase only
5564,DispFormer phase-only,0.08999365568161011,0.15673094987869263,0.05620790272951126,0.037313081324100494,0.09628744423389435,phase only
5580,DispFormer phase-only,0.10712829232215881,0.12600448727607727,0.0975722149014473,0.0317344143986702,0.105473093688488,phase only
5604,DispFormer phase-only,0.09773050248622894,0.12870678305625916,0.08204876631498337,0.04201638326048851,0.04931054264307022,phase only
5762,DispFormer phase-only,0.08614667505025864,0.10540574789047241,0.07639677822589874,0.058679159730672836,0.09580953419208527,phase only
6047,DispFormer phase-only,0.08887646347284317,0.10205483436584473,0.0822049230337143,0.042815182358026505,0.10741163045167923,phase only
6196,DispFormer phase-only,0.15217776596546173,0.24388927221298218,0.10574879497289658,0.07529386132955551,0.16002827882766724,phase only
6663,DispFormer phase-only,0.06558931618928909,0.1096283495426178,0.04329456388950348,0.055713169276714325,0.08407703042030334,phase only
6679,DispFormer phase-only,0.1448829025030136,0.19840045273303986,0.11778964847326279,0.03971177339553833,0.07850383222103119,phase only
6771,DispFormer phase-only,0.1487499624490738,0.16866347193717957,0.1386687457561493,0.07371943444013596,0.10767050832509995,phase only
6956,DispFormer phase-only,0.11482004076242447,0.12202794849872589,0.11117102950811386,0.02677011303603649,0.05431155115365982,phase only
7220,DispFormer phase-only,0.1147516518831253,0.16250678896903992,0.09057560563087463,0.05536628141999245,0.1095319390296936,phase only
7308,DispFormer phase-only,0.1015772819519043,0.11924368143081665,0.09263366460800171,0.06896508485078812,0.10422723740339279,phase only
7350,DispFormer phase-only,0.0947132334113121,0.17366421222686768,0.05474430322647095,0.03688694164156914,0.041502945125103,phase only
7422,DispFormer phase-only,0.10665273666381836,0.1320880800485611,0.09377609193325043,0.051966797560453415,0.09072280675172806,phase only
7447,DispFormer phase-only,0.09660147875547409,0.14732152223587036,0.07092446088790894,0.07079341262578964,0.11500857025384903,phase only
7454,DispFormer phase-only,0.06160893663764,0.14272700250148773,0.020542915910482407,0.06594554334878922,0.18898211419582367,phase only
7640,DispFormer phase-only,0.08787462115287781,0.1151375025510788,0.07407278567552567,0.05027662590146065,0.07947094738483429,phase only
7681,DispFormer phase-only,0.08050122112035751,0.13151733577251434,0.054674308747053146,0.06263827532529831,0.18423782289028168,phase only
7794,DispFormer phase-only,0.13898007571697235,0.2983992397785187,0.05827414244413376,0.0869164764881134,0.22926877439022064,phase only
7861,DispFormer phase-only,0.10367026925086975,0.1185925081372261,0.09611587226390839,0.07403542101383209,0.2038700431585312,phase only
7871,DispFormer phase-only,0.07976821064949036,0.11923789978027344,0.05978667736053467,0.06661005318164825,0.1332043558359146,phase only
8105,DispFormer phase-only,0.07871627062559128,0.1416313797235489,0.04686548933386803,0.07747998088598251,0.10718967020511627,phase only
8228,DispFormer phase-only,0.06413432210683823,0.1086735650897026,0.041586339473724365,0.06370782852172852,0.08023128658533096,phase only
8270,DispFormer phase-only,0.1203976720571518,0.2630109488964081,0.04819970950484276,0.07537055015563965,0.1460905522108078,phase only
8308,DispFormer phase-only,0.17876563966274261,0.2228880226612091,0.15642865002155304,0.055230170488357544,0.09822230041027069,phase only
8314,DispFormer phase-only,0.05938507989048958,0.09688550978899002,0.040400486439466476,0.07485052943229675,0.09003501385450363,phase only
8467,DispFormer phase-only,0.070246122777462,0.12621203064918518,0.04191338270902634,0.06592971086502075,0.08031570911407471,phase only
