disp_best_rms_km_s,method,reference_in_p05_p95,site_index,status,vs_mae_km_s
0.00945182980774657,QEDisp m0 multistart,nan,2,ok,0.09020265183745489
nan,DI-Strong,0.6265560165975104,2,ok,0.129261314868927
nan,DI-Weak,0.946058091286307,2,ok,0.10788612812757492
0.009959733222280548,QEDisp m0 multistart,nan,7,ok,0.08990345319497733
nan,DI-Strong,0.5892116182572614,7,ok,0.1016857698559761
nan,DI-Weak,0.970954356846473,7,ok,0.09592322260141373
0.00739468186730332,QEDisp m0 multistart,nan,153,ok,0.2012969879188655
nan,DI-Strong,0.6929460580912863,153,ok,0.10766333341598511
nan,DI-Weak,0.6597510373443983,153,ok,0.19209882616996765
0.015493071262081725,QEDisp m0 multistart,nan,296,ok,0.1270459435826149
nan,DI-Strong,0.7344398340248963,296,ok,0.12101596593856812
nan,DI-Weak,0.4979253112033195,296,ok,0.3576374650001526
0.011079190631442559,QEDisp m0 multistart,nan,331,ok,0.11851754207818277
nan,DI-Strong,0.7925311203319502,331,ok,0.09238402545452118
nan,DI-Weak,0.8879668049792531,331,ok,0.15853659808635712
0.00939884982350003,QEDisp m0 multistart,nan,493,ok,0.15240337460240752
nan,DI-Strong,0.7053941908713693,493,ok,0.11105863749980927
nan,DI-Weak,0.9585062240663901,493,ok,0.12116076797246933
0.006983022090134214,QEDisp m0 multistart,nan,658,ok,0.1113748950900917
nan,DI-Strong,0.5933609958506224,658,ok,0.1365974098443985
nan,DI-Weak,0.9087136929460581,658,ok,0.1481696516275406
0.010588913759880246,QEDisp m0 multistart,nan,786,ok,0.10381510518322214
nan,DI-Strong,0.6058091286307054,786,ok,0.13170461356639862
nan,DI-Weak,0.4854771784232365,786,ok,0.22510458528995514
0.004432723266483772,QEDisp m0 multistart,nan,992,ok,0.1080111668006791
nan,DI-Strong,0.8091286307053942,992,ok,0.08537810295820236
nan,DI-Weak,0.9543568464730291,992,ok,0.11664655804634094
0.005047145260514645,QEDisp m0 multistart,nan,1009,ok,0.06753310563171339
nan,DI-Strong,0.6141078838174274,1009,ok,0.11579032987356186
nan,DI-Weak,0.8796680497925311,1009,ok,0.14208872616291046
0.004783387950930154,QEDisp m0 multistart,nan,1040,ok,0.08207305082620825
nan,DI-Strong,0.8423236514522822,1040,ok,0.08343789726495743
nan,DI-Weak,0.8547717842323651,1040,ok,0.13646984100341797
0.00621468427573655,QEDisp m0 multistart,nan,1087,ok,0.14381177120641817
nan,DI-Strong,0.7925311203319502,1087,ok,0.09362828731536865
nan,DI-Weak,0.9087136929460581,1087,ok,0.11993736028671265
0.012123962420109633,QEDisp m0 multistart,nan,1148,ok,0.1185490793972431
