abc_epsilon_rms_km_s,best_disp_rms_km_s,candidate_runtime_s,case_index,ess,ess_fraction,input_mode,mean_vs_p05_p95_width_km_s,mean_vs_p16_p84_width_km_s,median_vs_mae_km_s,median_vs_rmse_km_s,method,n_posterior_samples,n_prior_draws,posterior_family,posterior_predictive_valid_samples,prior,reference_prior,regime,runtime_s,sampling_steps,sigma_c_km_s,vs_median_absdiff_to_abc_km_s,vs_p05_p50_p95_absdiff_to_abc_km_s,vs_p05_p95_coverage,vs_p05_p95_width_ratio_to_abc,vs_p16_p84_coverage,weighting
0.1321248859167099,0.11136529594659805,119.07017874717712,0,128.0,0.03125,joint,0.5355093479156494,0.33299726247787476,0.14536052942276,0.17361606657505035,ABC-Strong,,4096,traditional_abc,,strong,strong,in-prior,,,0.1,,,0.90234375,,0.69921875,abc_top_128
0.34330499172210693,0.3385097086429596,103.73383092880249,0,128.0,0.03125,joint,1.4441787004470825,0.8872623443603516,0.1952449083328247,0.24699163436889648,ABC-Weak,,4096,traditional_abc,,weak,weak,in-prior,,,0.1,,,0.9921875,,0.9765625,abc_top_128
,,,0,,,joint,0.2462003380060196,0.15373563766479492,0.06485311686992645,0.07742318511009216,DI-Strong,64,,learned_flow,0,strong,strong,in-prior,2.897202968597412,24,,0.1232733502984047,0.14424645900726318,0.7890625,0.4639924168586731,0.5703125,
,,,0,,,joint,0.5875060558319092,0.35038578510284424,0.09422942250967026,0.15904057025909424,DI-Weak,64,,learned_flow,0,weak,weak,in-prior,1.7348339557647705,24,,0.11710362881422043,0.32648155093193054,0.9921875,0.40391045808792114,0.796875,
0.1474504917860031,0.10415676236152649,119.07017874717712,1,128.0,0.03125,joint,0.6302196979522705,0.4218391180038452,0.1621701866388321,0.20393943786621094,ABC-Strong,,4096,traditional_abc,,strong,strong,in-prior,,,0.1,,,0.9765625,,0.73046875,abc_top_128
0.213873028755188,0.2039211392402649,103.73383092880249,1,128.0,0.03125,joint,1.2132813930511475,0.7012647390365601,0.19951698184013367,0.23075748980045319,ABC-Weak,,4096,traditional_abc,,weak,weak,in-prior,,,0.1,,,1.0,,0.87109375,abc_top_128
,,,1,,,joint,0.26803380250930786,0.16634833812713623,0.08498391509056091,0.10792836546897888,DI-Strong,64,,learned_flow,0,strong,strong,in-prior,1.7761399745941162,24,,0.12776994705200195,0.16781437397003174,0.79296875,0.43256932497024536,0.55078125,
,,,1,,,joint,0.4602634906768799,0.28113943338394165,0.07994198054075241,0.11931341141462326,DI-Weak,64,,learned_flow,0,weak,weak,in-prior,1.7596218585968018,24,,0.14674407243728638,0.3009253442287445,0.984375,0.37990444898605347,0.79296875,
0.5337986946105957,0.27276307344436646,119.07017874717712,0,128.0,0.03125,joint,0.8528505563735962,0.5320579409599304,0.3270752429962158,0.37994828820228577,ABC-Strong,,4096,traditional_abc,,strong,strong,boundary,,,0.1,,,0.55078125,,0.41796875,abc_top_128
0.2803627848625183,0.2322278916835785,103.73383092880249,0,128.0,0.03125,joint,1.2480113506317139,0.8721436262130737,0.304659366607666,0.3565427362918854,ABC-Weak,,4096,traditional_abc,,weak,weak,boundary,,,0.1,,,0.9765625,,0.80859375,abc_top_128
